XCoord,YCoord,NUMBER,BLDGABBR,BLDGNAME
1076006.86936732,3105684.14571651, ,NULL,NULL
1081088.12158487,3112734.75896480,1800,GSC,General Services Complex
1081331.01751759,3112429.72555315,1172,NULL,Flammable Mat Storage
1082345.30214630,3111774.24613774,0350,NULL,Albritton Bell Tower
1082916.46715879,3111194.11451983,NULL,NULL,NULL
1083056.64334672,3111517.41838372,0632,NULL,Compressor House
1083053.81684775,3111522.72337348,0635,NULL,Grounds Maintenance Storage
1081538.40449513,3112272.91871052,0983,NULL,Trans Center Paint Storage
1082960.15080047,3112488.58922455,0432,ARCC,Architecture Building C
1082931.00668009,3112472.94768171,0359,ARCB,Architecture Building B
1082997.61589699,3112170.58335279,0469,CCPG,Central Campus Parking Garage
